id,gender,screentime,url,image_url
Gared,male,2.3,https://gameofthrones.fandom.com/wiki/Gared,https://static.wikia.nocookie.net/gameofthrones/images/8/81/Gared_1x01.png/revision/latest/scale-to-width-down/350?cb=20211204141307
Mycah,male,1.0,https://gameofthrones.fandom.com/wiki/Mycah,https://static.wikia.nocookie.net/gameofthrones/images/9/9f/Mycah_infobox.jpg/revision/latest/scale-to-width-down/350?cb=20120509174103
Jon-Arryn,male,1.0,https://gameofthrones.fandom.com/wiki/Jon_Arryn,https://static.wikia.nocookie.net/gameofthrones/images/7/7a/Jon_Arryn_funeral_bier.jpg/revision/latest/scale-to-width-down/350?cb=20120520000749
Jeyne-Poole,female,1.0,https://gameofthrones.fandom.com/wiki/Jeyne_Poole,https://static.wikia.nocookie.net/gameofthrones/images/1/12/Jeyne_Poole.jpg/revision/latest?cb=20160816153105
Todder,male,1.0,https://gameofthrones.fandom.com/wiki/Todder,https://static.wikia.nocookie.net/gameofthrones/images/2/24/Todder_%28Hardhome%29.PNG/revision/latest?cb=20160829170756
Tomard,male,1.0,https://gameofthrones.fandom.com/wiki/Tomard,https://static.wikia.nocookie.net/gameofthrones/images/4/47/Tomard.jpg/revision/latest/scale-to-width-down/350?cb=20160829160528
Brynden-Tully,male,1.0,https://gameofthrones.fandom.com/wiki/Brynden_Tully,https://static.wikia.nocookie.net/gameofthrones/images/6/61/6x07_Blackfish.png/revision/latest/scale-to-width-down/350?cb=20160601191023
Petyr-Baelish,male,1.0,https://gameofthrones.fandom.com/wiki/Petyr_Baelish,https://static.wikia.nocookie.net/gameofthrones/images/9/9f/Profile-Littlefinger.png/revision/latest/scale-to-width-down/335?cb=20170826005231
Aerys-II-Targaryen,male,1.0,https://gameofthrones.fandom.com/wiki/Aerys_II_Targaryen,https://static.wikia.nocookie.net/gameofthrones/images/4/47/Aerys_II_Targaryen_Mad_King.jpg/revision/latest/scale-to-width-down/350?cb=20170821102509
Aemon-Targaryen-(Maester-Aemon),male,1.0,https://gameofthrones.fandom.com/wiki/Aemon_Targaryen_(Maester_Aemon),
Alyn,female,1.0,https://gameofthrones.fandom.com/wiki/Alyn,
Luwin,male,1.0,https://gameofthrones.fandom.com/wiki/Luwin,https://static.wikia.nocookie.net/gameofthrones/images/5/53/Luwin.jpg/revision/latest?cb=20190714181951
Ogo,male,1.0,https://gameofthrones.fandom.com/wiki/Ogo,
Jhiqui,female,1.0,https://gameofthrones.fandom.com/wiki/Jhiqui,https://static.wikia.nocookie.net/gameofthrones/images/6/60/Jhiqui.png/revision/latest/scale-to-width-down/350?cb=20160825234510
Vayon-Poole,male,1.0,https://gameofthrones.fandom.com/wiki/Vayon_Poole,https://static.wikia.nocookie.net/gameofthrones/images/6/69/Vayon_Poole.jpg/revision/latest/scale-to-width-down/350?cb=20120313172256
Will-(prologue),male,1.0,https://gameofthrones.fandom.com/wiki/Will_(prologue),
Pycelle,male,1.0,https://gameofthrones.fandom.com/wiki/Pycelle,https://static.wikia.nocookie.net/gameofthrones/images/0/0b/Pycelle_Infobo_Image.PNG/revision/latest?cb=20170421111211
Hallis-Mollen,male,1.0,https://gameofthrones.fandom.com/wiki/Hallis_Mollen,
Aggo,male,1.0,https://gameofthrones.fandom.com/wiki/Aggo,
Lyanna-Stark,female,1.0,https://gameofthrones.fandom.com/wiki/Lyanna_Stark,https://static.wikia.nocookie.net/gameofthrones/images/8/85/Lyanna_S7_E7.jpg/revision/latest/scale-to-width-down/301?cb=20170830234842
Rhaegar-Targaryen,male,1.0,https://gameofthrones.fandom.com/wiki/Rhaegar_Targaryen,https://static.wikia.nocookie.net/gameofthrones/images/5/51/Rhaeger_main_infobox.png/revision/latest/scale-to-width-down/306?cb=20210722174123
Sandor-Clegane,male,1.0,https://gameofthrones.fandom.com/wiki/Sandor_Clegane,https://static.wikia.nocookie.net/gameofthrones/images/b/b5/SandorConfrontsGregor.PNG/revision/latest/scale-to-width-down/326?cb=20210722093812
Mordane,female,1.0,https://gameofthrones.fandom.com/wiki/Mordane,https://static.wikia.nocookie.net/gameofthrones/images/2/20/MordaneCropped.jpg/revision/latest?cb=20190215194539
Jaremy-Rykker,male,1.0,https://gameofthrones.fandom.com/wiki/Jaremy_Rykker,https://static.wikia.nocookie.net/gameofthrones/images/7/74/Jaremy_Rykker.jpg/revision/latest/scale-to-width-down/270?cb=20211204141044
Varys,male,1.0,https://gameofthrones.fandom.com/wiki/Varys,https://static.wikia.nocookie.net/gameofthrones/images/f/ff/Varys8x05Dragonstone.PNG/revision/latest?cb=20190513041715
Halder,male,1.0,https://gameofthrones.fandom.com/wiki/Halder,
Jhogo,male,1.0,https://gameofthrones.fandom.com/wiki/Jhogo,https://static.wikia.nocookie.net/gameofthrones/images/c/ce/RakharoTheNorthRemembers.jpg/revision/latest?cb=20190215192725
Haggo,male,1.0,https://gameofthrones.fandom.com/wiki/Haggo,https://static.wikia.nocookie.net/gameofthrones/images/0/08/Haggo1x09.jpg/revision/latest/scale-to-width-down/350?cb=20130208231308
Brandon-Stark,male,1.0,https://gameofthrones.fandom.com/wiki/Brandon_Stark,https://static.wikia.nocookie.net/gameofthrones/images/8/81/KingBran.PNG/revision/latest/scale-to-width-down/336?cb=20190520173855
